Fraud,ID,Status ,Age,Sex,Race,Hispanic,Education,HigherEducation,Employment,Monthly_income,Annual_Income,Marital_Status,Years_Married,Children,Previously_Married,Citizenship,Address,City,State,Zip_Code,Previously_Denied_Visa,Foreign_Residence_Requirement,History_of_Crime,Expiration_Date_of_Passport,Date_of_Marriage,Expired_Passport_Marriage,Spouse_DOB,Spouse_Status,Spouse_Sex,Spouse_Age,Spouse_Annual_Income,Spouse_History_of_Crime
Yes,680-578-542,US Citizen,26,F,African American,No,college,No,FT,"$13,649 ","$163,788 ",Married,15,0,Yes,United States,69 Sunset Street ,Freehold,MA,18030,No,Yes,Yes,3/12/2025,7/11/2017,No,4/7/1974,Immigrant,M,47,"$115,625.00",Yes
Yes,750-450-526,US Citizen,28,M,African American,No,college,No,FT,"$12,387 ","$148,644 ",Married,7,0,No,United States,278 Redview St ,Sugar Land,ID,50322,No,Yes,Yes,9/15/2021,12/24/2025,Yes,4/26/1981,Immigrant,F,40,"$86,457.00",Yes
Yes,751-628-691,US Citizen,47,F,African American,No,college,No,FT,"$16,039 ","$192,468 ",Married,13,0,No,United States,8784 Sakehurst Court ,Orlando,CA,91720,No,No,Yes,10/19/2025,6/15/2020,No,8/30/1989,Immigrant,M,32,"$142,068.00",No
Yes,563-916-855,US Citizen,55,F,Multiple Races,No,college,No,FT,"$8,932 ","$107,184 ",Married,8,0,No,United States,22 E Mainth St,Williams City,FL,33010,No,No,Yes,11/17/2017,2/2/2023,Yes,1/23/1997,Immigrant,M,24,"$184,397.00",No
Yes,255-217-819,US Citizen,24,M,African American,No,12th grade,No,FT,"$14,811 ","$177,732 ",Married,6,0,Yes,United States,8732 Blake Hill Street ,Collestown,CA,91776,No,Yes,No,12/14/2016,3/6/2025,Yes,3/4/1991,Immigrant,F,30,"$102,023.00",Yes
Yes,992-764-433,Immigrant,49,M,African American,No,college,No,FT,"$8,569 ","$102,828 ",Married,2,0,No,Dominican Republic,3726 Green River Drive ,Port Charlotte,CA,91776,No,Yes,No,2/8/2022,5/13/2016,No,10/3/1997,US Citizen,F,24,"$58,125.00",No
Yes,789-709-177,US Citizen,22,F,Hispanic,No,HS,No,Unemployed,$0 ,$0 ,Married,5,0,Yes,United States,1421 East Glenridge Road ,Enterprise,CA,91754,No,Yes,Yes,9/17/2016,9/15/2023,Yes,5/6/1984,Immigrant,M,37,"$128,396.00",Yes
Yes,145-962-402,US Citizen,34,F,Hispanic,Yes,college,No,FT,"$8,544 ","$102,528 ",Divorced,13,0,No,United States,6023 N Plankinton Center Dr,Evanston,IA,50322,No,No,Yes,8/25/2020,2/29/2020,No,12/30/1981,Immigrant,M,40,"$118,212.00",Yes
Yes,940-675-442,US Citizen,31,M,Hispanic,Yes,MA,Yes,PT,"$2,374 ","$28,488 ",Married,11,0,No,United States,7194 St,Uniontown,CA,90034,No,No,No,4/26/2024,1/9/2016,No,12/19/1994,Immigrant,F,27,"$65,026.00",No
Yes,946-847-420,US Citizen,26,M,African American,No,college,No,FT,"$10,648 ","$127,776 ",Divorced,2,0,No,United States,53 Millstone Rd,Katon,FL,33010,No,Yes,No,2/20/2018,1/25/2021,Yes,5/29/1995,Immigrant,F,26,"$197,410.00",Yes
Yes,235-905-245,US Citizen,31,F,African American,No,BS,Yes,FT,"$12,397 ","$148,764 ",Divorced,15,0,No,United States,33734 N Main St,San Jose,IA,50701,No,Yes,Yes,4/20/2024,10/3/2022,No,2/27/1997,Immigrant,M,24,"$98,667.00",Yes
Yes,121-426-864,US Citizen,23,F,Hispanic,Yes,college,No,FT,"$7,273 ","$87,276 ",Divorced,2,0,No,United States,44219 Brickell Ave,Camden,OH,45324,Yes,No,Yes,9/27/2022,11/9/2023,Yes,7/3/1980,Immigrant,M,41,"$198,271.00",Yes
Yes,610-369-151,Immigrant,42,M,African American,No,MA,Yes,FT,"$8,074 ","$96,888 ",Married,5,0,No,Dominican Republic,362 Monroe St,New York,NJ,7660,No,No,No,7/29/2020,4/7/2024,Yes,10/11/1997,US Citizen,F,24,"$37,271.00",No
Yes,456-501-419,US Citizen,49,F,Multiple Races,No,HS,No,Unemployed,$0 ,$0 ,Married,12,0,No,United States,2500 Pringle Rd Se #505,Seark,IA,50701,No,No,Yes,10/4/2016,6/18/2017,Yes,11/4/1987,Immigrant,M,34,"$121,100.00",Yes
Yes,681-530-980,US Citizen,25,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,4,0,Yes,United States,8977 Wakehurst Drive ,Chicago,IA,50322,No,Yes,Yes,5/14/2022,5/13/2019,No,5/1/1971,Immigrant,M,50,"$171,898.00",Yes
Yes,686-154-506,US Citizen,37,F,African American,No,college,No,FT,"$10,814 ","$129,768 ",Married,7,0,Yes,United States,71 Glen Ridge St ,Nagar Land,MA,18030,No,Yes,Yes,8/11/2024,10/7/2018,No,5/17/1993,Immigrant,M,28,"$103,334.00",Yes
Yes,372-499-840,US Citizen,25,M,Hispanic,Yes,college,No,FT,"$13,022 ","$156,264 ",Divorced,3,0,No,United States,How13 Young Ave,Newark,IA,50322,No,Yes,Yes,6/10/2018,3/18/2021,Yes,8/29/1995,Immigrant,F,26,"$112,580.00",Yes
Yes,697-729-871,US Citizen,50,M,White,No,college,No,FT,"$7,732 ","$92,784 ",Married,5,0,No,United States,5284 Dort Drive ,Chicago,IA,50322,No,No,Yes,1/22/2025,9/9/2020,No,6/21/1975,Immigrant,F,46,"$98,571.00",No
Yes,745-314-478,US Citizen,52,F,African American,No,college,No,FT,"$11,159 ","$133,908 ",Married,2,0,No,United States,9079 North Amherst Ave,Ronkonkoburg,IN,46804,No,No,Yes,10/18/2022,8/29/2018,No,10/10/1983,Immigrant,M,38,"$158,924.00",No
Yes,926-617-707,US Citizen,34,F,African American,No,college,No,FT,"$10,604 ","$127,248 ",Married,1,0,Yes,United States,20 NW. Rosewood St ,Saint Paul,FL,32254,No,Yes,Yes,11/23/2019,12/15/2020,Yes,3/10/1977,Immigrant,M,44,"$75,855.00",No
Yes,156-625-357,US Citizen,35,F,African American,No,HS,No,Unemployed,$0 ,$0 ,Married,15,0,Yes,United States,144220 Newcastle Drive Rd,Boise,IA,50701,No,Yes,Yes,6/23/2017,10/9/2020,Yes,9/2/1998,Immigrant,M,23,"$175,878.00",Yes
Yes,737-264-770,US Citizen,40,F,White,No,college,No,Unemployed,$0 ,$0 ,Married,15,0,No,United States,36 Second St ,Osport,CA,91776,No,No,Yes,9/15/2019,1/28/2023,Yes,8/8/1989,Immigrant,M,32,"$185,231.00",Yes
Yes,905-889-307,US Citizen,25,F,African American,No,college,No,FT,"$8,226 ","$98,712 ",Married,0,0,Yes,United States,69 N. High St,Biloxi,IA,50315,No,No,Yes,1/22/2018,4/18/2025,Yes,12/10/1991,Immigrant,M,30,"$165,640.00",Yes
Yes,270-776-446,US Citizen,24,F,Hispanic,Yes,HS,No,FT,"$15,336 ","$184,032 ",Married,14,0,No,United States,71 San Mateo Ave,Brooklyn,IN,46804,No,No,Yes,11/16/2020,6/23/2022,Yes,1/28/1997,Immigrant,M,24,"$195,607.00",Yes
Yes,886-478-283,US Citizen,22,M,African American,No,college,No,FT,"$8,247 ","$98,964 ",Married,13,0,Yes,United States,766 S Haven St,West Babylon,NJ,7660,No,No,Yes,3/24/2024,10/17/2016,No,10/7/1978,Immigrant,F,43,"$67,182.00",Yes
Yes,577-345-829,US Citizen,28,M,Hispanic,Yes,college,No,FT,"$8,289 ","$99,468 ",Married,10,0,No,United States,36 Brickell Ave,Dlympia,FL,33010,No,No,Yes,12/30/2024,2/4/2020,No,8/14/1993,Immigrant,F,28,"$158,392.00",Yes
Yes,232-656-494,US Citizen,44,M,African American,No,college,No,FT,"$9,377 ","$112,524 ",Divorced,3,0,Yes,United States,69304 W Beler Trl,Middle Park,FL,33010,No,No,Yes,4/15/2025,6/30/2017,No,3/2/1994,Immigrant,F,27,"$186,497.00",Yes
Yes,805-251-389,US Citizen,43,M,African American,No,HS,No,PT,"$2,206 ","$26,472 ",Married,4,0,No,United States,3938199 Morris Ave,Reston,NJ,8611,No,No,Yes,2/26/2021,9/5/2018,No,5/2/1996,Immigrant,F,25,"$65,692.00",Yes
Yes,875-176-341,US Citizen,28,M,Multiple Races,No,BS,Yes,FT,"$15,313 ","$183,756 ",Divorced,2,0,Yes,United States,87 Santa Clara Lane ,Fall River,NJ,7660,No,No,No,8/23/2016,4/26/2025,Yes,5/7/1998,Immigrant,F,23,"$151,714.00",Yes
Yes,850-426-612,US Citizen,24,F,African American,No,college,No,FT,"$16,874 ","$202,488 ",Married,4,0,Yes,United States,812899 Southth Ave,Streridge,VA,7611,No,Yes,Yes,3/12/2018,4/25/2025,Yes,5/22/1988,Immigrant,M,33,"$98,875.00",Yes
Yes,661-375-353,Immigrant,46,M,White,No,BA,Yes,FT,"$16,830 ","$201,960 ",Divorced,6,0,Yes,India,3026 Cherry St,Salark,NJ,8611,No,No,Yes,11/17/2020,1/21/2022,Yes,6/18/1989,US Citizen,F,32,"$58,785.00",No
Yes,143-219-564,Immigrant,45,M,Multiple Races,No,college,No,FT,"$13,053 ","$156,636 ",Married,4,0,No,Philippines,2 W 2nd St #979,Newark,FL,33010,No,No,Yes,7/20/2017,1/1/2019,Yes,4/19/1983,US Citizen,F,38,"$31,613.00",No
Yes,488-996-858,US Citizen,32,F,African American,No,college,No,FT,"$11,623 ","$139,476 ",Divorced,15,0,No,United States,286 Dunbar Street ,Hialeah,NJ,8611,No,No,Yes,12/3/2023,4/16/2022,No,2/24/1986,Immigrant,M,35,"$154,699.00",Yes
Yes,603-780-378,Immigrant,36,M,African American,No,MA,Yes,FT,"$16,123 ","$193,476 ",Married,8,0,Yes,Cuba,223 Newcastle Drive ,Macon,IN,46804,No,Yes,Yes,7/14/2025,5/2/2020,No,4/6/1973,US Citizen,F,48,"$55,084.00",No
Yes,292-233-161,Immigrant,35,M,Hispanic,Yes,BA,Yes,FT,"$6,055 ","$72,660 ",Married,6,0,No,Guatemala,12 N Highland Ave,Smithfield,CA,91776,No,No,Yes,12/6/2024,8/16/2016,No,6/12/1992,US Citizen,F,29,"$33,073.00",No
Yes,240-112-132,US Citizen,26,M,African American,No,college,No,Unemployed,$0 ,$0 ,Married,5,0,No,United States,775298,Hicksville,CA,90016,No,No,No,6/27/2016,6/3/2024,Yes,9/4/1985,Immigrant,F,36,"$139,302.00",No
Yes,546-440-449,US Citizen,39,F,African American,No,HS,No,PT,"$2,736 ","$32,832 ",Married,0,0,No,United States,922 Carpenter Ave,Smithfieldtown,FL,33010,No,Yes,No,7/22/2019,2/28/2016,No,6/5/1984,Immigrant,M,37,"$154,139.00",Yes
Yes,129-721-411,Immigrant,35,M,African American,No,BA,Yes,PT,"$8,638 ","$103,656 ",Married,12,0,No,Vietnam,878 State Route 22,Annaport,OH,45324,No,No,Yes,10/23/2018,10/1/2016,No,7/25/1994,US Citizen,F,27,"$52,208.00",No
Yes,766-365-506,US Citizen,27,F,African American,No,college,No,FT,"$14,349 ","$172,188 ",Divorced,3,0,No,United States,9245th Ave,Philadelphia,MA,7302,Yes,Yes,Yes,10/28/2021,10/20/2025,Yes,8/6/1996,Immigrant,M,25,"$193,147.00",No
Yes,952-321-245,US Citizen,41,F,African American,No,college,No,FT,"$8,362 ","$100,344 ",Divorced,5,0,No,United States,62 Southern Blvd,Hudsonville,CA,91776,No,Yes,Yes,4/14/2021,7/29/2019,No,7/10/1992,Immigrant,M,29,"$192,253.00",Yes
Yes,313-840-502,US Citizen,22,F,African American,No,college,No,PT,"$2,823 ","$33,876 ",Married,8,0,No,United States,71 Bayview St ,Rockbrook,FL,33011,No,Yes,Yes,1/18/2024,11/24/2023,No,4/12/1972,Immigrant,M,49,"$73,005.00",Yes
Yes,451-658-171,Immigrant,24,M,African American,No,college,No,FT,"$14,173 ","$170,076 ",Divorced,9,0,No,El Salvador,42 Bport St ,Pasha,CA,92501,No,No,Yes,8/29/2018,9/14/2017,No,4/30/1980,US Citizen,F,41,"$46,715.00",No
Yes,737-994-736,Immigrant,26,M,African American,No,BA,Yes,PT,"$9,709 ","$116,508 ",Divorced,4,0,Yes,El Salvador,8122 Carmont Avenue ,Fort Worth,CA,90016,No,Yes,No,2/11/2024,10/13/2018,No,8/20/1993,US Citizen,F,28,"$53,383.00",No
Yes,368-249-738,US Citizen,25,F,White,No,12th grade,No,FT,"$13,001 ","$156,012 ",Divorced,11,0,No,United States,37272 Morris Ave,Bangor,FL,33011,No,No,No,8/6/2019,8/5/2023,Yes,10/22/1982,Immigrant,M,39,"$161,309.00",No
Yes,161-438-138,Immigrant,25,M,African American,No,college,No,FT,"$11,259 ","$135,108 ",Married,1,0,Yes,Cuba,224 Louisiana Ave,Ramsey City,IA,50322,No,No,No,8/20/2023,8/6/2025,Yes,8/18/1982,US Citizen,F,39,"$55,007.00",No
Yes,343-508-229,US Citizen,24,F,African American,No,college,No,FT,"$7,133 ","$85,596 ",Divorced,2,0,Yes,United States,36 Second St ,Baltimore,IA,50322,No,Yes,Yes,4/26/2016,11/30/2016,Yes,12/20/1988,Immigrant,M,33,"$115,146.00",Yes
Yes,997-984-915,US Citizen,32,F,African American,No,college,No,FT,"$13,009 ","$156,108 ",Divorced,13,0,No,United States,3 4th St,Newark,MA,18030,No,No,No,9/23/2022,6/24/2024,Yes,4/29/1990,Immigrant,M,31,"$127,115.00",Yes
Yes,464-647-973,US Citizen,26,M,African American,No,college,No,FT,"$6,373 ","$76,476 ",Married,11,0,No,United States,8504 Lakeport Drive ,Oakland,IN,46804,No,Yes,Yes,3/19/2023,11/11/2019,No,9/9/1977,Immigrant,F,44,"$128,369.00",Yes
Yes,801-181-183,US Citizen,36,F,African American,No,college,No,Unemployed,$0 ,$0 ,Divorced,3,0,No,United States,75 N Elm Blvd,Chicago,FL,33010,No,No,Yes,3/29/2019,8/29/2023,Yes,8/13/1982,Immigrant,M,39,"$65,066.00",Yes
Yes,328-103-226,Immigrant,47,M,White,No,MA,Yes,FT,"$11,724 ","$140,688 ",Divorced,5,0,Yes,India,53 Washington Drive ,Erie,IA,50315,No,No,Yes,3/18/2017,4/30/2024,Yes,4/4/1997,US Citizen,F,24,"$44,764.00",No
Yes,106-137-574,Immigrant,46,M,African American,No,college,No,FT,"$16,381 ","$196,572 ",Married,8,0,No,Dominican Republic,69286 North 15 St,Eleigh,IN,46804,No,No,Yes,7/23/2021,11/13/2016,No,11/8/1991,US Citizen,F,30,"$52,530.00",No
Yes,282-596-571,US Citizen,29,M,African American,No,college,No,PT,"$1,022 ","$12,264 ",Married,13,0,Yes,United States,27 Cohler St,Mc Minnville,IA,50701,No,No,Yes,2/8/2021,1/10/2017,No,1/9/1979,Immigrant,F,42,"$89,680.00",Yes
Yes,336-650-260,Immigrant,31,F,White,No,college,No,FT,"$5,580 ","$66,960 ",Married,5,0,No,El Salvador,921 Par80 E 29th St,Bilford,MA,18030,No,Yes,No,8/18/2024,12/20/2023,No,7/23/1993,US Citizen,M,28,"$47,981.00",No
Yes,880-998-754,US Citizen,33,F,African American,No,college,No,FT,"$14,945 ","$179,340 ",Divorced,15,0,Yes,United States,61734 W Blue Ridge St ,Indianlis,IA,50322,No,No,Yes,12/29/2016,7/19/2017,Yes,6/8/1971,Immigrant,M,50,"$163,426.00",No
Yes,599-203-995,US Citizen,25,F,African American,No,college,No,FT,"$12,047 ","$144,564 ",Married,10,0,Yes,United States,90597 Mster St,Milton,IA,50322,No,No,Yes,1/26/2024,3/7/2025,Yes,1/26/1981,Immigrant,M,40,"$97,105.00",Yes
Yes,792-122-424,US Citizen,49,F,African American,No,college,No,FT,"$16,636 ","$199,632 ",Married,15,0,No,United States,36 Second St ,Ab Island,MA,18030,No,No,Yes,6/23/2025,5/29/2022,No,5/25/1972,Immigrant,M,49,"$74,481.00",Yes
Yes,802-980-602,Immigrant,32,F,African American,No,MA,Yes,FT,"$7,910 ","$94,920 ",Divorced,1,0,No,Vietnam,53 Mountain Viewis Rd,State,IA,50701,No,No,No,12/19/2021,6/28/2023,Yes,9/20/1998,US Citizen,M,23,"$34,652.00",No
